ItemNo,Type,Condition,Target,Competitor
1,critical,phn,shark,sharp
1,critical,sem,shark,whale
1,critical,unr,shark,butter
2,critical,phn,mile,mire
2,critical,sem,mile,inch
2,critical,unr,mile,fork
3,critical,phn,grape,great
3,critical,sem,grape,cherry
3,critical,unr,grape,house
4,critical,phn,bean,beat
4,critical,sem,bean,lentil
4,critical,unr,bean,hand
5,critical,phn,river,rivet
5,critical,sem,river,stream
5,critical,unr,river,brick
6,critical,phn,spoon,spoof
6,critical,sem,spoon,knife
6,critical,unr,spoon,tree
7,critical,phn,sheep,sheet
7,critical,sem,sheep,cow
7,critical,unr,sheep,pin
8,critical,phn,dime,dive
8,critical,sem,dime,dollar
8,critical,unr,dime,clasp
9,critical,phn,harp,hard
9,critical,sem,harp,violin
9,critical,unr,harp,cap
10,critical,phn,silk,silt
10,critical,sem,silk,cotton
10,critical,unr,silk,tile
11,critical,phn,shirt,
11,critical,sem,shirt,
11,critical,unr,shirt,
12,critical,phn,steel,
12,critical,sem,steel,
12,critical,unr,steel,
13,critical,phn,train,
13,critical,sem,train,
13,critical,unr,train,
14,critical,phn,spice,
14,critical,sem,spice,
14,critical,unr,spice,
15,critical,phn,spear,
15,critical,sem,spear,
15,critical,unr,spear,
16,filler,non,thafe,cat
17,filler,non,sploons,horn
18,filler,non,weff,pass
19,filler,non,zerm,type
20,filler,non,strout,hot
21,filler,non,pleck,ladder
22,filler,non,flelm,peel
23,filler,non,vaum,film
24,filler,non,kloab,window
25,filler,non,drolm,bottle
26,filler,non,,cycle
27,filler,non,,stairs
28,filler,non,,handle
29,filler,non,,left
30,filler,non,,reach
