item,prefix,expected,within_category,between_category
1,Ann wanted to treat her foreign guests to an all-American pie. She went out in the back yard and picked some,apples,oranges,carrots
2,"Every morning, Jack makes himself a glass of fresh-squeezed juice. He keeps his refrigerator stocked with",oranges,apples,tomatoes
3,Sheila loves the taste of home-made spaghetti sauce. She decided to start growing her own,tomatoes,carrots,apples
4,They told the little boy it was Bugs Bunny's favorite food. But he still didn't want to eat his,carrots,tomatoes,oranges
5,Robert saw the hive and immediately froze. He was extremely afraid of,bees,spiders,rats
6,"There were several webs built across the path. However, Sally didn't actually see any",spiders,bees,rabbits
7,"With a flourish, the magician reached into his hat. To the delight of the children he pulled out, not one, but two",rabbits,rats,spiders
8,"John liked his job in the psychology lab, but he worried about getting bitten. He didn't really feel comfortable working with the",rats,rabbits,bees
9,"The gardener really impressed his wife on Valentine's Day. To surprise her, he had secretly grown some",roses,tulips,palms
10,The tourist in Holland stared in awe at the rows and rows of color. She wished she lived in a country where they grew,tulips,roses,pines
11,The air smelled like a Christmas wreath and the ground was littered with needles. The land in this part of the country was just covered with,pines,palms,tulips
12,They wanted to make the hotel look more like a tropical resort. So along the driveway they planted rows of,palms,pines,tulips
13,"Jodie was one of the best pitchers on the team. That all changed, though, after the operation on her",arm,leg,heart
14,"Ever since they took the cast off, Matt has walked with a little bit of a limp. They say he may have to have surgery on his",leg,arm,lungs
15,"As a child, Dave suffered from really bad asthma. Now he can't do much because of his weak",lungs,heart,leg
16,Grandpa insists that his circulation is getting poorer. Yet the doctor says that there's nothing wrong with his,heart,lungs,arm
17,"The firefighters decided they wanted to have a mascot to live with them at the firehouse. Naturally, they decided it would have to be a",dalmatian,poodle,zebra
18,"Muffie, old Mrs. Smith's pet, wears a bow on the puff of fur on its head. I don't know how anyone could want to own a",poodle,dalmatian,donkey
19,"""I'm an animal like Eeyore!"" the child exclaimed. His mother wondered why he was pretending to be a",donkey,zebra,dalmatian
20,"At the zoo, my sister asked me if they painted the black and white stripes on the animal. I explained to her that they were natural features of a",zebra,donkey,poodle
21,Everyone toasted the couple on fifty years of marriage. It was the first time some of the children there had ever tasted,champagne,beer,coffee
22,"Carrie was disgusted with Paul's behavior at the fraternity party. He was so out of control, he kept spilling his",beer,champagne,milk
23,Sam is really high-strung when he comes to work in the mornings. We asked him to try drinking a little less,coffee,milk,champagne
24,Julie poured herself a huge bowl of cereal. Then she realized they were out of,milk,coffee,beer
25,"The day before the wedding, the kitchen was just covered with frosting. Annette's sister was responsible for making the",cake,cookies,toast
26,The little girl was happy that Santa Claus left nothing but crumbs on the plate. She decided he must have really enjoyed the,cookies,cake,bagel
27,Chris moped around all morning when he discovered there was no cream cheese. He complained that without it he couldn't eat his,bagel,toast,cookies
28,"He wanted to make his wife breakfast, but he burned piece after piece. I couldn't believe he was ruining even the",toast,bagel,cake
29,I guess his girlfriend really encouraged him to get it pierced. But his father sure blew up when he came home wearing that,earring,necklace,lipstick
30,She keeps twirling it around and around under her collar. Stephanie seems really happy that Dan gave her that,necklace,earring,mascara
31,She wanted to make her eyelashes look really black and thick. So she asked to borrow her older friend's,mascara,lipstick,necklace
32,"He complained that after she kissed him, he couldn't get the red color off his face. He finally just asked her to stop wearing that",lipstick,mascara,earring
33,Eleanor offered to fix her visitor some coffee. Then she realized she didn't have a clean,cup,bowl,spoon
34,"My aunt fixed my brother some cereal using her best china. Of course, the first thing he did was drop the",bowl,cup,knife
35,"At the dinner party, I wondered why my mother wasn't eating her soup. Then I noticed that she didn't have a",spoon,knife,cup
36,"In the dorms, cutting your steak can be a huge struggle. They always give you such a poor quality",knife,spoon,bowl
37,"Because of its teeth, it is one of the most deadly creatures in the ocean. Nevertheless, the scientist has spent her entire life studying the",shark,goldfish,shrimp
38,Its usually shiny orange color seemed dull as it swam around the little bowl. Claudia felt very sorry for the,goldfish,shark,crab
39,Dan didn't realize that you weren't actually supposed to eat the tails.  It was the first time he had ever ordered,shrimp,crab,shark
40,He found it hanging onto his fishing line by one claw and snapping at him with the other. He couldn't believe he had caught a,crab,shrimp,goldfish
41,"The hiker was startled by the sudden hissing sound. Without realizing it, he had nearly stepped on a small",snake,alligator,duck
42,All you could see above the water were the creature's sinister eyes. Steve stood quietly watching the,alligator,snake,turkey
43,"When he picked it up, it began quacking and struggling uncontrollably. He was very careful about how he handled the baby",duck,turkey,alligator
44,Will was busy making paper wings for the Thanksgiving parade. He had been assigned to dress up as the,turkey,duck,snake
